getpid()                                                                                                                                   = 526
sprintf("xbdf3142d7dbbc9bf", "x%lx", 0xbdf3142d7dbbc9bf)                                                                                   = 17
getenv("xbdf3142d7dbbc9bf")                                                                                                                = nil
strlen("xbdf3142d7dbbc9bf")                                                                                                                = 17
sprintf("=13687305878124612031 1", "=%lu %d", 13687305878124612031, 1)                                                                     = 23
strdup("xbdf3142d7dbbc9bf=13687305878124"...)                                                                                              = 0x7fffe29fe010
putenv("xbdf3142d7dbbc9bf=13687305878124"...)                                                                                              = 0
memcmp(0x7fa379402172, 0x7fa379402310, 22, 0)                                                                                              = 0
calloc(11, 8)                                                                                                                              = 0x7fffe29fe140
malloc(512)                                                                                                                                = 0x7fffe29fe1a0
sprintf("exec './guess3' "$@"", "exec '%s' "$@"", "./guess3")                                                                              = 20
execvp(0x7fa37940209a, 0x7fffe29fe140, 32, 0x7fffe9a2e798 <no return ...>
--- Called exec() ---
__libc_start_main(0x41eab0, 4, 0x7ffffd520bd8, 0x4b52e0 <unfinished ...>
__sigsetjmp(0x6fe360, 0, 0x7ffffd520c00, 0)                                                                                                = 0
open("/dev/tty", 2050, 035751764070)                                                                                                       = 3
close(3)                                                                                                                                   = 0
setlocale(LC_ALL, "" <unfinished ...>
getpagesize()                                                                                                                              = 4096
sbrk(0)                                                                                                                                    = 0x76b000
sbrk(4096)                                                                                                                                 = 0x76b000
sbrk(4096)                                                                                                                                 = 0x76c000
memset(0x76c008, '\337', 120)                                                                                                              = 0x76c008
sbrk(4096)                                                                                                                                 = 0x76d000
memset(0x76d008, '\337', 776)                                                                                                              = 0x76d008
memset(0x76c108, '\337', 112)                                                                                                              = 0x76c108
memset(0x76d408, '\337', 952)                                                                                                              = 0x76d408
memset(0x76c208, '\337', 216)                                                                                                              = 0x76c208
memset(0x76d808, '\337', 432)                                                                                                              = 0x76d808
memset(0x76c188, '\337', 104)                                                                                                              = 0x76c188
memset(0x76c308, '\337', 88)                                                                                                               = 0x76c308
memset(0x76c408, '\337', 120)                                                                                                              = 0x76c408
memset(0x76c508, '\337', 168)                                                                                                              = 0x76c508
memset(0x76c388, '\337', 104)                                                                                                              = 0x76c388
memset(0x76c608, '\337', 80)                                                                                                               = 0x76c608
memset(0x76c708, '\337', 192)                                                                                                              = 0x76c708
<... setlocale resumed> )                                                                                                                  = "de_DE.UTF-8"
strlen("de_DE.UTF-8")                                                                                                                      = 11
sbrk(0)                                                                                                                                    = 0x76e000
strcpy(0x76b1c8, "de_DE.UTF-8")                                                                                                            = 0x76b1c8
bindtextdomain("bash", "/usr/share/locale")                                                                                                = "/usr/share/locale"
textdomain("bash")                                                                                                                         = "bash"
__ctype_get_mb_cur_max()                                                                                                                   = 6
getuid()                                                                                                                                   = 1000
getgid()                                                                                                                                   = 1000
geteuid()                                                                                                                                  = 1000
getegid()                                                                                                                                  = 1000
strlen("POSIXLY_CORRECT")                                                                                                                  = 15
strncmp("PERL5LIB=/home/manuel/perl5/lib/"..., "POSIXLY_CORRECT", 15)                                                                      = -10
strncmp("PERL_MB_OPT=--install_base "/hom"..., "POSIXLY_CORRECT", 15)                                                                      = -10
strncmp("PATH=/home/manuel/perl5/bin:/hom"..., "POSIXLY_CORRECT", 15)                                                                      = -14
strncmp("PWD=/mnt/d/Dokumente/hackvent-20"..., "POSIXLY_CORRECT", 15)                                                                      = 8
strncmp("PERL_LOCAL_LIB_ROOT=/home/manuel"..., "POSIXLY_CORRECT", 15)                                                                      = -10
strncmp("PERL_MM_OPT=INSTALL_BASE=/home/m"..., "POSIXLY_CORRECT", 15)                                                                      = -10
strlen("POSIX_PEDANTIC")                                                                                                                   = 14
strncmp("PERL5LIB=/home/manuel/perl5/lib/"..., "POSIX_PEDANTIC", 14)                                                                       = -10
strncmp("PERL_MB_OPT=--install_base "/hom"..., "POSIX_PEDANTIC", 14)                                                                       = -10
strncmp("PATH=/home/manuel/perl5/bin:/hom"..., "POSIX_PEDANTIC", 14)                                                                       = -14
strncmp("PWD=/mnt/d/Dokumente/hackvent-20"..., "POSIX_PEDANTIC", 14)                                                                       = 8
strncmp("PERL_LOCAL_LIB_ROOT=/home/manuel"..., "POSIX_PEDANTIC", 14)                                                                       = -10
strncmp("PERL_MM_OPT=INSTALL_BASE=/home/m"..., "POSIX_PEDANTIC", 14)                                                                       = -10
__sigsetjmp(0x6fd820, 1, 1, 79)                                                                                                            = 0
strrchr("./guess3", '/')                                                                                                                   = "/guess3"
strcpy(0x76b208, "./guess3")                                                                                                               = 0x76b208
time(0)                                                                                                                                    = 1576010105
memset(0x76da08, '\337', 480)                                                                                                              = 0x76da08
memset(0x76dc08, '\337', 480)                                                                                                              = 0x76dc08
sbrk(4096)                                                                                                                                 = 0x76e000
memset(0x76e008, '\337', 1008)                                                                                                             = 0x76e008
setvbuf(0x7fcd7cfb31c0, 0x76e008, 1, 1008)                                                                                                 = 0
memset(0x76e408, '\337', 1008)                                                                                                             = 0x76e408
setvbuf(0x7fcd7cfb3400, 0x76e408, 1, 1008)                                                                                                 = 0
qsort(0x6f1e20, 76, 48, 0x474960 <unfinished ...>
memset(0x76e808, '\337', 568)                                                                                                              = 0x76e808
memset(0x76e808, '\317', 568)                                                                                                              = 0x76e808
sbrk(4096)                                                                                                                                 = 0x76f000
memset(0x76f008, '\337', 1264)                                                                                                             = 0x76f008
strcmp("bind", "break")                                                                                                                    = -9
strcmp("caller", "cd")                                                                                                                     = -3
strcmp("continue", "caller")                                                                                                               = 14
strcmp("continue", "cd")                                                                                                                   = 11
strcmp("bind", "builtin")                                                                                                                  = -12
strcmp("break", "builtin")                                                                                                                 = -3
strcmp("enable", "eval")                                                                                                                   = -8
strcmp("echo", "enable")                                                                                                                   = -11
strcmp("true", "typeset")                                                                                                                  = -7
strcmp("caller", "command")                                                                                                                = -14
strcmp("cd", "command")                                                                                                                    = -11
strcmp("continue", "command")                                                                                                              = 1
strcmp("exec", "exit")                                                                                                                     = -4
strcmp("fc", "fg")                                                                                                                         = -4
strcmp("hash", "help")                                                                                                                     = -4
strcmp("read", "return")                                                                                                                   = -19
strcmp("exec", "export")                                                                                                                   = -11
strcmp("exit", "export")                                                                                                                   = -7
strcmp("hash", "history")                                                                                                                  = -8
strcmp("help", "history")                                                                                                                  = -4
strcmp("logout", "let")                                                                                                                    = 10
strcmp("bind", "bg")                                                                                                                       = 2
strcmp("declare", "disown")                                                                                                                = -4
strcmp("echo", "exec")                                                                                                                     = -21
strcmp("enable", "exec")                                                                                                                   = -10
strcmp("eval", "exec")                                                                                                                     = -2
strcmp("false", "fc")                                                                                                                      = -2
strcmp("local", "let")                                                                                                                     = 10
strcmp("local", "logout")                                                                                                                  = -4
strcmp("unalias", "unset")                                                                                                                 = -18
strcmp("shift", "source")                                                                                                                  = -7
strcmp("times", "trap")                                                                                                                    = -9
